objectid,filename,cdmid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,youtubeid,fileid,collectionid
sg028b,DSC_5254.TIF,,Formation at Mammoth Hot Springs.,"F. Jay Haynes, Official Photograher, N.P.R.R.",undated,"Text reads ""Yellowstone National Park.
That intensely interesting locality known as the National Park, is situated in the northwest corner of Wyoming Territory, nine-hundred miles west of St. Paul, on the line of the Northern Pacific Railroad The Park is sixty-five by seventy-five miles in extent, and contains more wonders than any other lo-cality in the world.  in 1872 by Act of Congress it was set apart as a National Resort and Pleasure Ground for the enjoyment of people.  Tourists from all parts of the world have visited the Park, and pro-nounce it to be the ""Wonderland of America"".
A full set of views illustrates every attractive feature in the Park.  Post paid to any address by the publisher, and for sale by all first class dealers in Views, and on all trains of the N.P.R.R.  Descriptive catalogue free
Published by 
F. JAY HAYNES, OFFICIAL PHOTOGRAPHER, N.P.R.R.
FARGO D.T.",Yellowstone; Hot Springs; Travel,Yellowstone National Park,University of Texas at Austin Paper Lab Class Collection,B1C2B,Text,image/TIFF,English,,,,,
sg029,DSC_5255.TIF,,"12540 The Last Pull to the Summit-Ascent of the Snow Capped Mt. Hood, Oregon, U.S.A.",H.C. White Co.,1904,"A view of the silhouettes of three men traversing a mountaintop.  One man stands on the summit as two others make their way up.  Vertical text on the left-hand side reads ""The ""PERFEC"" STEREOGRAPH. (Trade Mark.) Patented April 4th, 1903. Other patents pending.""  Vertical text on the right-hand side reads ""H.C. WHITE CO., Gen'l Offices N. Bennington, Vt., U.S.A. Branch Offices: New York, Chicago, London."" Stereocard has overall discoloration and staining, along with wear to the edges.",Oregon; Travel,"Mt. Hood, Oregon",University of Texas at Austin Paper Lab Class Collection,B3C3,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg030,DSC_5257.TIF,,"12362. Palm Grove, Alexandria, Egypt.","B.W. Kilburn, Littleton, N.H.",1898,"A man standing in a palm grove between rows of palms looks up at a man climbing a palm.  A man on a donkey holding an open umbrella rides in front of the man looking up.  Vertical text along the right-hand side reads ""Copyright 1898 by B.W. Kilburn.""  Text below the right-hand photograph reads 12362. Palm Grove, Alexandria, Egypt.""  Stereocard is hand-colored and shows slight discoloration and there is a stain on the bottom lefthand corner of the right photograph.  There is also wear to the edges. ",Egypt; Palm Grove; Travel,"Alexandria, Egypt",University of Texas at Austin Paper Lab Class Collection,B3C11,Image; Hand-colored photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg030b,DSC_5258.TIF,,"12362. Palm Grove, Alexandria, Egypt.","B.W. Kilburn, Littleton, N.H.",1898,"Stamp at the top middle reads ""O.W.H.L. SURPLUS DUPLICATE"" and at the bottom left reads ""HELEN D. MOSELEY COLLECTION NATIONAL STEREOSCOPIC ASSOCIATION.""  Centered text reads ""Photoraphed and Published by B.W. KILBURN = LITTLETON, N.H.""",Egypt; Palm Grove; Travel,"Alexandria, Egypt",University of Texas at Austin Paper Lab Class Collection,B3C11B,"Text
Stamp; Ink",image/TIFF,English,,,,,
sg031,DSC_5259.TIF,,"9781--The Sphinx, Gizeh, Egypt.",Keystone View Company,undated,"A view of the sphinx and a pyramid from the front.  Two men are located in the foreground, one standing and another sitting atop a camel, looking at each other.  Vertical text on the left-hand side reads ""Keystone View Company Manufacturers Publishers COPYRIGHTED MADE IN U.S.A.""  Vertical text on the right-hand side reads ""Meadville, Pa., New York, N. Y., Portland, Oregon, London, Eng., Sydney, Aus.""  Text under the right photograph reads ""9781--The Sphinx, Gizeh, Egypt.""  Stereocard is discolored and has wear along the corners and edges.",Egypt; Pyramids; Travel,"Giza, Egypt",University of Texas at Austin Paper Lab Class Collection,B2C4,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg0031b,DSC_5260.TIF,,"9781--The Sphinx, Gizeh, Egypt.",Keystone View Company,undated,"Text reads ""47
9781--The Sphinx, Gizeh, Egypt
We are standing with our backs to the great Nile river, looking west.  Behind us, eight miles away across the river, is the city of Cairo.  Thus colossal figure before us is the oldest statue in the world.  The Arabs walking about on it give us some idea of its huge proportions, the face alone being al-most the height of an ordinary two-story house.  It [w]as carved out of solid rock, and was crouching here before the Pyramids were built.  Many conjectures are made as to its origin and meaning.  One is that the sphinx is a colossal image of the Egyptian deity, Harmachis, ""god of the morning,"" and of the king (unknown) who had it hewn.  It faces the est to greet the first rays of dawn.  Another states that it is supposed to represent King Amenemhet III., the great builder and the reformer of the prac-tice of irrigation, and that it is placed here to overlook the Nile forever.  Some think that if sufficient excavation were made there would be found here beneath a hundred feet of sand a necropolis of the kings of the second dynasty.
The face, which, according to olden tales, wore an expression ""of the softest beauty and the most winning peace,"" has been shot at and quite disfigured by fanatical Mohammedans.
The Great Pyramid is only a quarter of a mile away.  This one before us, very nearly as large, is the Second Pyramid or Pyramid of Cephren.  The pyramids were the mauso-leums of the rulers of Egypt about 4000 B.C. and were the highest expression of desire to secure a safe and imposing burial place amid the shifting, destroying sands of the desert.
Copyright 1[9]09 by Keystone View Company.""",Egypt; Pyramids; Travel,"Giza, Egypt",University of Texas at Austin Paper Lab Class Collection,B2C4B,Text,image/TIFF,English,,,,,
sg032,DSC_5261.TIF,,9812-- Inundation of the Nile,"Keystone View Company, Manufacturers and Publishers.",undated,"Men and childern stand near the flooded Nile with a camel.  A pyramid and plans are visible in the background.  Vertical text on the left-hand side reads ""Keystone View Company Manufacturers Publishers COPYRIGHTED MADE IN U.S.A.""  Vertical text on the right-hand side reads ""Meadville, Pa., New York, N. Y., Portland, Oregon, London, Eng., Sydney, Aus.""  Text under the right photograph reads ""9812--Inundation of the Nile."" ",Egypt; Pyramids; Travel,"Giza, Egypt",University of Texas at Austin Paper Lab Class Collection,B2C1,Image; Black-and-white photograph,image/TIFF,English,,,,,
sg032b,DSC_5262.TIF,,9812--Inundation of the Nile (verso),,undated,"Text reads ""48 
Inundation of the Nile
The Nile is Egypt.  There are in Egypt now about 10,000,000 people, and so far as we know the population has not varied much from that figure for several thousand years.  Since most of the country is almost abso-lutely rainless the only hope for a food sup-ply is in fertilizing waters of the great river.  The summer rains in Abyssinia raise the level of the Nile in a great flood, the crest of the wave arriving in lower Egypt in Octo-ber.  It is a time of great rejoicing when the Nile begins to rise.  The high water record often shows over forty feet above low stage.  This covers the bottom lands all along the rover for a thousand miles, lays down a layer of silt, and as the flood subsides the crops are sowed into the mud, to grow through the winter months and to be harvested be-fore the flood comes again.  Wheat is the principal grain, though barley, maize, and millet produce large crops.  Of late sugar cane and cotton are receiving large attention.
The ribbon of green which the Nile makes through the desert will not average over seven miles across, in most of the course of the valley it is less than half that.  The total arable area of Egyot is only 12,000 square miles, or about the size of Maryland.  The English regime is doing marvels in increasing the acreage, the one great venture of the Assuan dam adding over a million acres to the productive area.
The greater part of the permanently irri-gated area is in the Delta, below Cairo.  All of this is recent development, and the initia-tion of it is due to the great Khedive Mo-hammed Ali, whose noble mosque we will now visit.
Copyright 1909 by Keystone View Company""",Egypt; Pyramids; Travel,"Giza, Egypt",University of Texas at Austin Paper Lab Class Collection,B2C1B,Text,image/TIFF,English,,,,,
sg033,DSC_5263.TIF,,Skulls and Gun,unknown,undated,"Skulls of two stags sit on a rock behinf a gun and ammunition.  The antlers on the skuls are entangled.  Stereocard has fading and a crease down the middle, near the left edge of the right-hand photograph.",Hunting; Travel,unknown,University of Texas at Austin Paper Lab Class Collection,B1C1,Image; Sepia photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg0034,DSC_5265.TIF,,Citadel Tower,Alex Martin,undated,"A veiw of the Citadel Tower in a desrt landscape.  Sterocard has staining at the corners and slight fading.  Vertical text on the left-hand side reads"" MARTIN'S ROCKY MOUNTAIN SCENERY.""  Vertical text along the right-hand side reads ""PUBLISHED AT DENVER COLORADO.""",Rocky Mountains; Travel,"Denver, Colorado",University of Texas at Austin Paper Lab Class Collection,B1C3,Image; Sepia photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg034b,DSC_5266.TIF,,Citadel Tower (verso),Alex Martin,undated,"Text at the top reads ""Rocky Mountain
Stereoscopic Views."" With a small filigree detail underneath.
Handwritten text reads "" Citadel Tower - Height 90 feet
Monument Valley
D[?].+R.G[?]. R.R.""
Bottom text reads ""Published by Alex. Martin, Portrait and Landscape Photographer.
DENVER, COLORADO.""",Rocky Mountains; Travel,"Denver, Colorado",University of Texas at Austin Paper Lab Class Collection,B1C3B,"Text
Graphite writing",image/TIFF,English,,,,,
sg035,DSC_5267.TIF,,2107--Siamese Twins Garden of the Gods,unknown,undated,"A view of two stacked rocks amongst a desert landscape.  Text at the bottom reads ""2107--Siamese Twins Garden of the Gods.""  Text is slightly cut off.  Stereocard is discolored and has staining to the middle of the left-hand photograph and small dots in the middle of the right-hand photograph, right above the rocks.",Travel,unknown,University of Texas at Austin Paper Lab Class Collection,,Image; Sepia photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
,,,,,,,,,University of Texas at Austin Paper Lab Class Collection,,,image/TIFF,English,,,,,PLC (Paper Lab Collection)
,,,,,,,,,University of Texas at Austin Paper Lab Class Collection,,,image/TIFF,English,,,,,PLC (Paper Lab Collection)
,,,,,,,,,University of Texas at Austin Paper Lab Class Collection,,,image/TIFF,English,,,,,PLC (Paper Lab Collection)
,,,,,,,,,University of Texas at Austin Paper Lab Class Collection,,,image/TIFF,English,,,,,PLC (Paper Lab Collection)
